kelime,frekans
provider,16987
subscription,14890
subscriptionid,14532
resourcegroups,11896
resourcegroupname,11737
user,6769
project,5562
id,5394
count,4773
owner,4229
repos,4137
userid,4074
repo,4024
api,4008
microsoftnetwork,3850
group,3733
site,3563
eventid,3444
name,3334
groupid,3263
instance,3082
calendar,2833
event,2349
siteid,2218
item,1861
parent,1798
location,1794
calendarview,1758
orgs,1749
set,1680
team,1610
drive,1578
microsoftweb,1559
devicemanagement,1558
org,1542
action,1537
driveid,1524
calendarid,1509
service,1503
exceptionoccurrences,1500
region,1400
account,1362
driveitemid,1357
workbook,1251
slot,1163
apis,1129
list,1086
application,1046
message,1041
onenote,1030
operation,1021
zone,1020
entityinformation,1017
setid,1016
teamid,1004
identitygovernance,983
username,961
accountname,956
report,953
attachment,932
device,904
search,901
child,876
servicename,869
function,862
microsoftcompute,843
resource,830
admin,825
tag,824
enterprise,802
repository,783
calendargroups,768
termstore,765
apps,763
calendargroupid,760
termid,756
microsoftapimanagement,750
resourcename,742
company,738
certificate,734
extension,732
task,723
format,723
member,721
channel,721
comment,705
projectid,704
entitlementmanagement,690
job,688
namespaces,685
page,673
section,667
global,664
query,653
version,645
relation,643
multivalueextendedproperties,636
singlevalueextendedproperties,636
parentid,626
companyid,617
database,602
server,600
node,596
workspace,592
issue,574
deployment,569
onenotesectionid,560
employer,553
sectiongroups,540
applicationid,532
branch,522
networkwatchers,510
type,506
stats,504
network,494
namespace,488
product,480
channelid,478
customer,476
directoryobjectid,475
profile,474
connection,473
field,466
setting,465
contact,463
networkwatchername,462
vault,461
notebook,460
organization,454
deviceid,450
file,444
config,444
image,441
term,440
sectiongroupid,440
policy,439
status,438
workflow,433
microsoftbilling,432
run,431
domain,430
security,426
ref,426
manageddeviceid,423
microsoftdocumentdb,422
servername,421
relationid,420
notebookid,420
cluster,415
storeid,412
microsoftrecoveryservices,410
secret,409
databaseaccounts,408
schedule,404
directory,401
pull,400
order,394
key,393
chatmessageid,393
assignment,391
databasename,388
profileid,386
hook,375
manageddevices,373
accountid,372
worksheet,370
networkid,368
default,365
mailfolders,364
virtualmachines,361
definition,360
chat,358
jobid,358
userprofiles,358
parentgroup,357
rolemanagement,357
teamtemplatedefinitionid,356
mimic,356
watch,355
education,354
teamdefinition,354
workbookworksheetid,352
mailfolderid,352
messageid,351
onenotepageid,350
token,350
permission,345
column,342
deviceappmanagement,338
category,338
agent,337
virtualmachinescalesets,334
loadbalancers,333
userdefinedfields,332
table,330
metric,329
expressroutecircuits,329
instanceid,329
primarychannel,328
entity,327
microsoftconsumption,326
microsoftsql,322
runner,321
financials,321
orgid,316
listid,316
pool,315
label,314
chatid,312
termstores,310
merchantid,306
document,306
serviceprincipals,305
contenttypes,302
alert,302
joinedteams,302
cancel,300
decision,299
memberof,298
case,296
environment,295
transitivememberof,294
teamwork,293
agentnum,292
payment,292
plan,290
microsoftgraphdelta,289
accesspackageresource,289
commits,289
virtualnetworkgateways,287
serviceprincipalid,286
print,286
reaction,283
microsoftdevices,283
planner,283
childfolders,282
nodename,280
share,280
reply,278
teamslug,277
get,276
circuitname,276
peerings,275
vmscalesetname,270
billingaccounts,268
history,268
start,266
scope,265
client,263
app,262
virtualnetworkgatewayname,261
employerid,260
git,259
sid,258
template,257
chart,257
microsoftlogic,257
notification,257
identity,256
poolid,256
loadbalancername,253
virtualnetworks,253
employee,253
collection,253
catalog,251
pullnumber,251
runid,249
stop,249
accessreviewinstanceid,248
pvt,247
partitionid,247
video,247
organizationid,246
discussion,246
deploymentname,244
usage,244
email,244
commentid,242
installation,241
appname,241
contenttypeid,240
space,240
workspacename,240
content,239
session,236
invoice,236
thread,236
microsofteventgrid,234
dcim,234
snapshot,233
microsoftresources,230
hookid,229
post,228
appid,227
namespacename,226
workflowid,226
transaction,225
gist,224
update,224
apiid,224
informationprotection,221
msg,220
bucket,219
data,218
serviceid,217
metadata,217
protocol,217
peeringname,216
attachmentid,216
