kelime,frekans
c,2
xamztargetawsgluegetdevendpoint,1
xamztargetawsgluegetcrawlermetrics,1
xamztargetawsgluegetcrawlers,1
xamztargetawsgluegetcustomentitytype,1
xamztargetawsgluegetdatacatalogencryptionsettings,1
xamztargetawsgluegetdataqualityresult,1
xamztargetawsgluegetdataqualityrulerecommendationrun,1
xamztargetawsgluegetjobruns,1
xamztargetawsgluegetdataqualityruleset,1
xamztargetawsgluegetdatabase,1
xamztargetawsgluegetdatabases,1
xamztargetawsgluegetdataflowgraph,1
xamztargetawsgluegetdevendpoints,1
xamztargetawsgluegetjobrun,1
xamztargetawsgluegetjob,1
xamztargetawsgluegetjobbookmark,1
xamztargetawsgluegetdataqualityrulesetevaluationrun,1
xamztargetawsgluegetsession,1
xamztargetawsgluegetstatement,1
xamztargetawsgluegettable,1
xamztargetawsgluelistdataqualityrulerecommendationruns,1
xamztargetawsgluelistdataqualityrulesetevaluationruns,1
xamztargetawsgluelistdataqualityrulesets,1
xamztargetawsgluelistdevendpoints,1
xamztargetawsgluelistjobs,1
xamztargetawsgluegetcrawler,1
xamztargetawsgluegetjobs,1
xamztargetawsgluelistregistries,1
xamztargetawsgluegetpartition,1
xamztargetawshawksnestservicefacadeupdatevariable,1
xamztargetgameliftacceptmatch,1
xamztargetgameliftclaimgameserver,1
xamztargetgameliftvalidatematchmakingruleset,1
extensionversion,1
generatedsdkcodejobs,1
lockid,1
xamztargetawsgluegetmltaskruns,1
xamztargetawsgluegetmltransform,1
xamztargetawsgluegetmltransforms,1
xamztargetawsgluegetmapping,1
xamztargetawsgluegetpartitionindexes,1
xamztargetawsgluegetsecurityconfigurations,1
xamztargetawsgluegetpartitions,1
xamztargetawsgluegetmltaskrun,1
xamztargetawsgluegetplan,1
xamztargetawsgluegetresourcepolicies,1
xamztargetawsgluegetresourcepolicy,1
xamztargetawsgluegetschema,1
xamztargetawsgluegetschemabydefinition,1
xamztargetawsgluegetschemaversion,1
xamztargetawsgluegetschemaversionsdiff,1
xamztargetawsgluegetsecurityconfiguration,1
xamztargetawsgluegetregistry,1
xamztargetawsgluelistmltransforms,1
xamztargetawsgluelistdataqualityresults,1
xamztargetawshawksnestservicefacadeupdaterulemetadata,1
xamztargetawsgluebatchupdatepartition,1
xamztargetawsgluegetconnections,1
updateinfrastructureconfiguration,1
xamztargetawsgluegetconnection,1
xamztargetawsgluegetcolumnstatisticsforpartition,1
xamztargetawsgluecanceldataqualityrulerecommendationrun,1
xamztargetawsgluecanceldataqualityrulesetevaluationrun,1
xamztargetawsgluecancelmltaskrun,1
xamztargetawsgluecancelstatement,1
xamztargetawsgluecheckschemaversionvalidity,1
xamztargetawsgluecreateblueprint,1
xamztargetawsgluecreateclassifier,1
xamztargetawsgluecreateconnection,1
xamztargetawsglueimportcatalogtoglue,1
xamztargetawsgluecreatecustomentitytype,1
xamztargetawsgluecreatedataqualityruleset,1
xamztargetawsgluecreatedatabase,1
xamztargetawsgluecreatedevendpoint,1
xamztargetawsgluecreatejob,1
xamztargetawsgluecreatemltransform,1
xamztargetawsgluecreatepartition,1
xamztargetawsgluecreatecrawler,1
xamztargetawsgluecreatepartitionindex,1
xamztargetawsgluebatchstopjobrun,1
xamztargetawsgluebatchgettriggers,1
xamztargetawsgluelistblueprints,1
xamztargetawsgluegetworkflowruns,1
xamztargetawsgluelistschemaversions,1
xamztargetawsgluegettableversion,1
xamztargetawsgluelistsessions,1
xamztargetawsglueliststatements,1
